t_qh,solar_e_prod_normalized,ambient_temperature_deg_c
819,0.138888889,4.4
820,0.138888889,4.4
821,0.122222222,4.6
822,0.122222222,4.6
823,0.122222222,4.6
824,0.122222222,4.6
825,0.086111111,4.5
826,0.086111111,4.5
827,0.086111111,4.5
828,0.086111111,4.5
829,0.013888889,4.4
830,0.013888889,4.4
831,0.013888889,4.4
832,0.013888889,4.4
833,0,4
834,0,4
835,0,4
836,0,4
837,0,4.2
838,0,4.2
839,0,4.2
840,0,4.2
841,0,4.5
842,0,4.5
843,0,4.5
844,0,4.5
845,0,4.4
846,0,4.4
847,0,4.4
848,0,4.4
849,0,4.8
850,0,4.8
851,0,4.8
852,0,4.8
853,0,5.1
854,0,5.1
855,0,5.1
856,0,5.1
857,0,5.3
858,0,5.3
859,0,5.3
860,0,5.3
861,0,5.5
862,0,5.5
863,0,5.5
864,0,5.5
865,0,5.6
866,0,5.6
867,0,5.6
868,0,5.6
869,0,5.8
870,0,5.8
871,0,5.8
872,0,5.8
873,0,6
874,0,6
875,0,6
876,0,6
877,0,6.1
878,0,6.1
879,0,6.1
880,0,6.1
881,0,6.2
882,0,6.2
883,0,6.2
884,0,6.2
885,0,6.3
886,0,6.3
887,0,6.3
888,0,6.3
889,0,6.4
890,0,6.4
891,0,6.4
892,0,6.4
893,0,6.5
894,0,6.5
895,0,6.5
896,0,6.5
897,0.019444444,6.6
898,0.019444444,6.6
899,0.019444444,6.6
900,0.019444444,6.6
901,0.061111111,6.9
902,0.061111111,6.9
903,0.061111111,6.9
904,0.061111111,6.9
905,0.097222222,7.3
906,0.097222222,7.3
907,0.097222222,7.3
908,0.097222222,7.3
909,0.091666667,7.7
910,0.091666667,7.7
911,0.091666667,7.7
912,0.091666667,7.7
913,0.113888889,8
914,0.113888889,8
915,0.113888889,8
916,0.113888889,8
917,0.105555556,8.2
918,0.105555556,8.2
919,0.105555556,8.2
920,0.105555556,8.2
921,0.097222222,8.3
922,0.097222222,8.3
923,0.097222222,8.3
924,0.097222222,8.3
925,0.019444444,8.2
926,0.019444444,8.2
927,0.019444444,8.2
928,0.019444444,8.2
929,0,8
930,0,8
931,0,8
932,0,8
933,0,7.8
934,0,7.8
935,0,7.8
936,0,7.8
937,0,7.7
938,0,7.7
939,0,7.7
940,0,7.7
941,0,7.4
942,0,7.4
943,0,7.4
944,0,7.4
945,0,7.7
946,0,7.7
947,0,7.7
948,0,7.7
949,0,7.6
950,0,7.6
951,0,7.6
952,0,7.6
953,0,7.6
954,0,7.6
955,0,7.6
956,0,7.6
957,0,7.5
958,0,7.5
959,0,7.5
960,0,7.5
961,0,7.2
962,0,7.2
963,0,7.2
964,0,7.2
965,0,6.8
966,0,6.8
967,0,6.8
968,0,6.8
969,0,6.8
970,0,6.8
971,0,6.8
972,0,6.8
973,0,6.7
974,0,6.7
975,0,6.7
976,0,6.7
977,0,6.6
978,0,6.6
979,0,6.6
980,0,6.6
981,0,6.5
982,0,6.5
983,0,6.5
984,0,6.5
985,0,6.4
986,0,6.4
987,0,6.4
988,0,6.4
989,0.002777778,6.3
990,0.002777778,6.3
991,0.002777778,6.3
992,0.002777778,6.3
993,0.019444444,6.3
994,0.019444444,6.3
995,0.019444444,6.3
996,0.019444444,6.3
997,0.066666667,6.4
998,0.066666667,6.4
999,0.066666667,6.4
1000,0.066666667,6.4
1001,0.211111111,6.5
1002,0.211111111,6.5
1003,0.211111111,6.5
1004,0.211111111,6.5
1005,0.258333333,6.7
1006,0.258333333,6.7
1007,0.258333333,6.7
1008,0.258333333,6.7
1009,0.213888889,6.8
1010,0.213888889,6.8
1011,0.213888889,6.8
1012,0.213888889,6.8
1013,0.175,6.9
1014,0.175,6.9
1015,0.175,6.9
1016,0.175,6.9
1017,0.097222222,6.9
1018,0.097222222,6.9
1019,0.097222222,6.9
1020,0.097222222,6.9
1021,0.027777778,6.8
1022,0.027777778,6.8
1023,0.027777778,6.8
1024,0.027777778,6.8
1025,0,6.6
1026,0,6.6
1027,0,6.6
1028,0,6.6
1029,0,6.5
1030,0,6.5
1031,0,6.5
1032,0,6.5
1033,0,6.3
1034,0,6.3
1035,0,6.3
1036,0,6.3
1037,0,6.1
1038,0,6.1
1039,0,6.1
1040,0,6.1
1041,0,5.9
1042,0,5.9
1043,0,5.9
1044,0,5.9
1045,0,5.7
1046,0,5.7
1047,0,5.7
1048,0,5.7
1049,0,5.5
1050,0,5.5
1051,0,5.5
1052,0,5.5
1053,0,5.4
1054,0,5.4
1055,0,5.4
1056,0,5.4
1057,0,4.8
1058,0,4.8
1059,0,4.8
1060,0,4.8
1061,0,4.2
1062,0,4.2
1063,0,4.2
1064,0,4.2
1065,0,3.5
1066,0,3.5
1067,0,3.5
1068,0,3.5
1069,0,3.2
1070,0,3.2
1071,0,3.2
1072,0,3.2
1073,0,2.9
1074,0,2.9
1075,0,2.9
1076,0,2.9
1077,0,2.5
1078,0,2.5
1079,0,2.5
1080,0,2.5
1081,0,2.3
1082,0,2.3
1083,0,2.3
1084,0,2.3
1085,0.002777778,2.1
1086,0.002777778,2.1
1087,0.002777778,2.1
1088,0.002777778,2.1
1089,0.027777778,2
1090,0.027777778,2
1091,0.027777778,2
1092,0.027777778,2
1093,0.069444444,3.2
1094,0.069444444,3.2
1095,0.069444444,3.2
1096,0.069444444,3.2
1097,0.088888889,4.8
1098,0.088888889,4.8
1099,0.088888889,4.8
1100,0.088888889,4.8
1101,0.094444444,6.4
1102,0.094444444,6.4
1103,0.094444444,6.4
1104,0.094444444,6.4
1105,0.091666667,7.7
1106,0.091666667,7.7
1107,0.091666667,7.7
1108,0.091666667,7.7
1109,0.075,8.2
1110,0.075,8.2
1111,0.075,8.2
1112,0.075,8.2
1113,0.038888889,8.3
1114,0.038888889,8.3
1115,0.038888889,8.3
1116,0.038888889,8.3
1117,0.011111111,7.5
1118,0.011111111,7.5
1119,0.011111111,7.5
1120,0.011111111,7.5
1121,0,6.3
1122,0,6.3
1123,0,6.3
1124,0,6.3
1125,0,6.1
1126,0,6.1
1127,0,6.1
1128,0,6.1
1129,0,5.8
1130,0,5.8
1131,0,5.8
1132,0,5.8
1133,0,5.6
1134,0,5.6
1135,0,5.6
1136,0,5.6
1137,0,5.3
1138,0,5.3
1139,0,5.3
1140,0,5.3
1141,0,5.1
1142,0,5.1
1143,0,5.1
1144,0,5.1
1145,0,4.8
1146,0,4.8
1147,0,4.8
1148,0,4.8
1149,0,4.6
1150,0,4.6
1151,0,4.6
1152,0,4.6
1153,0,4.5
1154,0,4.5
1155,0,4.5
1156,0,4.5
1157,0,4.6
1158,0,4.6
1159,0,4.6
1160,0,4.6
1161,0,4.6
1162,0,4.6
1163,0,4.6
1164,0,4.6
1165,0,4.6
1166,0,4.6
1167,0,4.6
1168,0,4.6
1169,0,4.7
1170,0,4.7
1171,0,4.7
1172,0,4.7
1173,0,4.8
1174,0,4.8
1175,0,4.8
1176,0,4.8
1177,0,4.8
1178,0,4.8
1179,0,4.8
1180,0,4.8
1181,0,4.9
1182,0,4.9
1183,0,4.9
1184,0,4.9
1185,0.016666667,5
1186,0.016666667,5
1187,0.016666667,5
1188,0.016666667,5
1189,0.044444444,6.2
1190,0.044444444,6.2
1191,0.044444444,6.2
1192,0.044444444,6.2
1193,0.075,7.9
1194,0.075,7.9
1195,0.075,7.9
1196,0.075,7.9
1197,0.086111111,9.5
1198,0.086111111,9.5
1199,0.086111111,9.5
1200,0.086111111,9.5
1201,0.080555556,10.9
1202,0.080555556,10.9
1203,0.080555556,10.9
1204,0.080555556,10.9
1205,0.063888889,11.6
1206,0.063888889,11.6
1207,0.063888889,11.6
1208,0.063888889,11.6
1209,0.036111111,10.8
1210,0.036111111,10.8
1211,0.036111111,10.8
1212,0.036111111,10.8
1213,0.008333333,11.8
1214,0.008333333,11.8
1215,0.008333333,11.8
1216,0.008333333,11.8
1217,0,10.7
1218,0,10.7
1219,0,10.7
1220,0,10.7
1221,0,10.5
1222,0,10.5
1223,0,10.5
1224,0,10.5
1225,0,10.3
1226,0,10.3
1227,0,10.3
1228,0,10.3
1229,0,10.1
1230,0,10.1
1231,0,10.1
1232,0,10.1
1233,0,9.9
1234,0,9.9
1235,0,9.9
1236,0,9.9
1237,0,9.7
1238,0,9.7
1239,0,9.7
1240,0,9.7
1241,0,9.5
1242,0,9.5
1243,0,9.5
1244,0,9.5
1245,0,9.3
1246,0,9.3
1247,0,9.3
1248,0,9.3
